City	State	lat	lon	Amount
FRIENDSHIP	NY	42.2	-78.14	250.0
FRISCO	TX	33.14	-96.81	2500.0
FULTON	MD	39.1511692	-76.92305069999999	500.0
GALLATIN	TN	36.37	-86.45	6600.0
GASPORT	NY	43.19	-78.57	1000.0
GENESEO	NY	42.79	-77.81	4750.0
GENEVA	NY	42.86	-76.98	22600.0
GERMANTOWN	MD	39.1731621	-77.2716502	1000.0
GERRY	NY	42.21	-79.16	250.0
GLEN ALLEN	VA	37.665978	-77.5063739	2500.0
GLEN COVE	NY	40.86	-73.63	300.0
GOUVERNEUR	NY	44.33	-75.46	500.0
GOWANDA	NY	42.46	-78.93	1170.0
GRAND ISLAND	NY	43.01	-78.96	4500.0
GREAT BARRINGTON	MA	42.19	-73.35	1000.0
GREAT FALLS	VA	38.9981652	-77.2883157	3750.0
GREENHURST	NY	42.14	-79.31	150.0
GREENWICH	CT	41.0262417	-73.6281964	2000.0
GREENWICH	CT	41.06	-73.63	6000.0
GREENWOOD VILLAGE	CO	39.64	-104.99	3000.0
GROTON	NY	42.58	-76.36	55.0
HAMBURG	NY	42.72	-78.83	200.0
HAMMONDSPORT	NY	42.4	-77.22	5110.0
HARRISON	NY	41.02	-73.72	550.0
HARTFORD	CT	41.76	-72.68	2000.0
HARTFORD	CT	41.76371109999999	-72.6850932	4500.0
HARVARD	MA	42.5	-71.58	1000.0
HASLETT	MI	42.74697889999999	-84.40108479999999	500.0
HAWORTH	NJ	40.96	-73.99	2000.0
HAWORTH	NJ	40.9609315	-73.9901383	2000.0
HAWTHORN WOODS	IL	42.2169686	-88.04952109999999	1000.0
HEBRON	KY	39.08	-84.7	500.0
HECTOR	NY	42.5	-76.87	3300.0
HENDERSONVILLE	NC	35.3187279	-82.4609528	75.0
HENRIETTA	NY	43.04	-77.61	500.0
HERNDON	VA	38.9695545	-77.3860976	5000.0
HICKORY	NC	35.7344538	-81.3444573	500.0
HIGHLAND PARK	IL	42.1816918	-87.8003437	4500.0
HILTON	NY	43.28	-77.79	850.0
HIMROD	NY	42.58	-76.95	755.0
HOLLAND	NY	42.63	-78.54	1000.0
HONEOYE FALLS	NY	42.95	-77.59	5100.0
HORNELL	NY	42.32	-77.66	13414.0
HORSEHEADS	NY	42.16	-76.82	24688.0
HOUGHTON	NY	42.42	-78.16	50.0
HOUSTON	TX	29.76	-95.38	62500.0
HOWE	IN	41.72	-85.42	654.0
HUMBLE	TX	29.99	-95.26	2500.0
HUNTINGTON	NY	40.87	-73.4	60.0
INCLINE VILLAGE	NV	39.24	-119.92	1000.0
INDEPENDENCE	OH	41.38	-81.64	1000.0
INDIANAPOLIS	IN	39.77	-86.14	11250.0
INTERLAKEN	NY	42.61	-76.72	470.0
ITHACA	NY	42.44	-76.5	29437.0
JACKSON	MS	32.32	-90.2	1000.0
JACKSON	TN	35.63	-88.82	1000.0
JACKSONVILLE	FL	30.33	-81.65	250.0
JAMESTOWN	NY	42.09	-79.23	21458.0
JAMESVILLE	NY	42.99	-76.07	500.0
JEFFERSON CITY	MO	38.57670170000001	-92.1735164	1000.0
JOHNS CREEK	GA	34.0289259	-84.198579	1000.0
JORDAN	NY	43.06	-76.47	250.0
KANSAS CITY	MO	39.09	-94.58	15500.0
KENILWORTH	IL	42.085862	-87.71756069999999	4000.0
KENNEDY	NY	42.14	-79.07	100.0
KENSINGTON	MD	39.0256651	-77.0763669	1000.0
KEUKA PARK	NY	42.61	-77.09	1170.0
KILDEER	IL	42.1705807	-88.04785319999999	250.0
KILL BUCK	NY	42.14	-78.61	500.0
KINGWOOD	TX	29.99	-95.26	1000.0
KIRKLAND	WA	47.67	-122.18	250.0
KNOXVILLE	TN	35.97	-83.94	250.0
LAKE FOREST	CA	33.64	-117.67	2000.0
LAKE FOREST	IL	42.2586342	-87.840625	1000.0
LAKE GENEVA	WI	42.5916836	-88.4334301	6900.0
LAKE MILLS	WI	43.0813888	-88.91177420000001	500.0
LAKE PLACID	NY	44.28	-73.98	1000.0
LAKE VIEW	NY	42.71	-78.93	3700.0
LAKEVILLE	NY	42.82	-77.71	1250.0
LAKEWOOD	NY	42.1	-79.32	5275.0
LANSING	MI	42.732535	-84.5555347	6000.0
LANSING	NY	42.48	-76.48	1910.0
LARCHMONT	NY	40.92	-73.75	6200.0
LATHAM	NY	42.74	-73.74	500.0
LE ROY	NY	42.97	-77.99	500.0
LEWIS CENTER	OH	40.18	-82.99	1000.0
LEWISTON	NY	43.17	-79.04	1000.0
LEXINGTON	KY	38.04	-84.45	15000.0
LIBERTYVILLE	IL	42.2830786	-87.9531303	1000.0
LIDO BEACH	NY	40.58	-73.65	300.0
LINCOLNSHIRE	IL	42.1900249	-87.9084039	1000.0
LINDLEY	NY	42.02	-77.14	1350.0
LITTLE ROCK	AR	34.72	-92.35	5300.0
LITTLE VALLEY	NY	42.24	-78.79	480.0
LIVERPOOL	NY	43.1	-76.21	750.0
LOCKPORT	IL	41.5894752	-88.05783699999999	100.0
LOCKPORT	NY	43.16	-78.69	8500.0
LOCKWOOD	NY	42.09	-76.55	350.0
LONE TREE	CO	39.59	-105.01	5000.0
LONG BEACH	CA	33.75	-118.2	1000.0
LOS ANGELES	CA	34.03	-118.43	1000.0
LOS ANGELES	CA	34.06	-118.31	2500.0
LOS ANGELES	CA	34.1	-118.37	2500.0
LOS BANOS	CA	36.9	-121.02	2500.0
LUBBOCK	TX	33.57	-101.87	1000.0
LUTHERVILLE	MD	39.4354087	-76.6123884	7700.0
LYONS	NY	43.06	-76.99	150.0
MACHIAS	NY	42.38	-78.52	90.0
MADISON	NJ	40.7598227	-74.417097	1000.0
MALVERN	PA	40.03	-75.51	2600.0
MAMARONECK	NY	40.93	-73.72	4575.0
MANHASSET	NY	40.79	-73.69	1000.0
MANLIUS	NY	43.0	-75.97	3800.0
MAPLEWOOD	NJ	40.73	-74.27	4000.0
MARBLEHEAD	MA	42.5	-70.85	2750.0
MARCO ISLAND	FL	25.94	-81.73	1250.0
MARION	NY	43.16	-77.17	2700.0
MATTITUCK	NY	41.0	-72.53	2600.0
MAYVILLE	NY	42.25	-79.5	1350.0
MC LEAN	VA	38.9338676	-77.1772604	6950.0
MCLEAN	VA	38.9338676	-77.1772604	22044.0
MECHANICSBURG	PA	40.21	-77.0	10000.0
MEDIA	PA	39.91	-75.38	2000.0
MEMPHIS	TN	35.1	-90.0	12500.0
MENDON	NY	42.99	-77.49	3600.0
METAIRIE	LA	29.99	-90.17	4000.0
MICHIGAN CITY	IN	41.70753939999999	-86.8950297	625.0
MIDDLESEX	NY	42.7	-77.27	385.0
MIDLAND	MI	43.6155825	-84.2472116	5000.0
MILFORD	NJ	40.56	-75.09	2000.0
MILWAUKEE	WI	43.0389025	-87.9064736	13500.0
